sku,description
EF070258,"Demonstrate your military pride with this great flag! This handsome flag is made of good quality polyester and measures 3' X 5'. It is finished with a sturdy canvas header for added durability and features two brass grommets for easy display.  AmericanFlags.com is proud to support our U.S. military, both active duty and retired."
SPW100I,"<P align=""justify"">This Heavy Duty A-36 Carbon Steel flagpole stands 100"" in height. It has butt diameter of 14,"" a top diameter of 6.625,"" and a wall thickness of .500."" It is engineered to withstand windspeeds of up to 130 MPH unflagged. It ships in three sections, joined with seamless steel concentric reducers, which provide a uniform tapered appearance.<br><br>
<h2>Standard Features include:</h2><br>
<li> Gold Anodized Aluminum Ball<br>
<li> Stainless steel aircraft cable halyard<br>
<li> Chrome plated bronze swivel snaphooks<br>
<li> Neoprene snaphook covers<br>
<li> Beaded sling assembly<br>
<li> Plastic covered counterweights<br>
<li> Stainless steel winch assembly, with removable hand crank<br>
<li> Flush access door with cylinder lock and piano hinge<br>
<li> Spun aluminum flash collar to match pole<br>
<li> Galvanized corrugated steel ground sleeve with grounding spike<br>
<li> Urethane gloss enamel finish, designed for maximum gloss and color retention.<br><br>
Great for any commercial application and very popular among retailers, including car dealers!

We recommend a <a href=""http://www.americanflags.com/30x50totexam.html"">30' X 50' Tough Tex Flag</a> for this 100' steel flagpole.

<P align=""justify"">THESE POLES ARE SHIPPED BY VIA TRUCK FROM LOCATIONS ACROSS THE UNITED STATES. THE SHIPPING COSTS SHOWN AT CHECKOUT REFLECTS A GENERAL ESTIMATE OF SHIPPING COSTS. WE WILL CONTACT YOU AFTER YOU PLACE YOUR ORDER IF THE ACTUAL SHIPPING COSTS TO YOUR LOCATION ARE MORE OR LESS THAN YOU WERE INITIALLY CHARGED. YOU MAY CANCEL YOUR ORDER WITHOUT CHARGE AT THAT POINT IF THE COSTS ARE NOT ACCEPTABLE TO YOU.

Shipping weight: 5,393 LBS"
SPW100H,"<P align=""justify"">This A-36 Carbon Steel flagpole stands 100"" in height. It has butt diameter of 12.75,"" a top diameter of 4.5"" and a wall thickness of .375."" It is engineered to withstand windspeeds of up to 105 MPH unflagged. It ships in three sections, joined with seamless steel concentric reducers, which provide a uniform tapered appearance.<br><br>
<h2>Standard Features include:</h2><br>
<li> Gold Anodized Aluminum Ball<br>
<li> Stainless steel aircraft cable halyard<br>
<li> Chrome plated bronze swivel snaphooks<br>
<li> Neoprene snaphook covers<br>
<li> Beaded sling assembly<br>
<li> Plastic covered counterweights<br>
<li> Stainless steel winch assembly, with removable hand crank<br>
<li> Flush access door with cylinder lock and piano hinge<br>
<li> Spun aluminum flash collar to match pole<br>
<li> Galvanized corrugated steel ground sleeve with grounding spike<br>
<li> Urethane gloss enamel finish, designed for maximum gloss and color retention.<br><br>
Great for any commercial application and very popular among retailers, including car dealers!

We recommend a <a href=""http://www.americanflags.com/30x50totexam.html"">30' X 50' Tough Tex Flag</a> for this 100' steel flagpole.

<P align=""justify"">THESE POLES ARE SHIPPED BY VIA TRUCK FROM LOCATIONS ACROSS THE UNITED STATES. THE SHIPPING COSTS SHOWN AT CHECKOUT REFLECTS A GENERAL ESTIMATE OF SHIPPING COSTS. WE WILL CONTACT YOU AFTER YOU PLACE YOUR ORDER IF THE ACTUAL SHIPPING COSTS TO YOUR LOCATION ARE MORE OR LESS THAN YOU WERE INITIALLY CHARGED. YOU MAY CANCEL YOUR ORDER WITHOUT CHARGE AT THAT POINT IF THE COSTS ARE NOT ACCEPTABLE TO YOU.

Shipping weight: 3,733LBS"
ServiceBanner1014,"This standard is displayed by immediate family members of those serving in the Armed Forces during wartime. The enlisted family member need not be serving overseas in order for his or her family to display the banner. Organizations and businesses may also display the Service Banner if they have members serving in the Armed Forces. Each star typically represents a loved one serving and our service banners can accommodate 1-4 stars. Banner is fully sewn in Nylon, with a crossbar, gold cord and tassel.

* Carefully crafted in high-quality nylon.

* Made in the USA.

* Meets all government standards. 

* Available for immediate shipping.

* Save money by buying direct from AmericanFlags.com"
1015Texas2Ply,"This 10' X 15' Texas State Flag with sewn stripes and star is our top-of-the line, exceptionally durable all-weather flag. Made from heavyweight spun polyester, it is ideal for commercial or institutional use, high wind areas or daily use. It comes with a one year ColorFast Guarantee and matches our Tough Tex US Flags."
AF2340,"AmericanFlags.com is proud to offer these 10' X 15' All-American US flags, which are carefully treated to resist fading, tearing and the shredding you see in foreign-made American flags.
Our own testing reveals that these flags outlast other nylon flags by as much as 33%!
<ul>
<li>Premium 200-denier nylon sourced in the USA, not from China.</li>
<li>Inks stay bright, bold and keep your flag looking sharp.</li>
<li>Nylon fabric is specially treated to resist UV radiation.</li>
<li>Four rows of lock stitching on flag ends to resist wind shredding.</li>
<li>Double rowed stitching on top and bottom flag hems.</li>
<li>Heavy duty roped heading with rust-proof hooks.</li>
<li>Industrial strength canvas header is virtually indestructible.</li>
<li>Appliqu<li>d stars, sewn stripes with color matched stitching.</li>
<li>Lightweight - flies proudly in the lightest breeze and dries quickly.</li>
<li>These flags and all their components are Made in America!</li>
</ul>
AmericanFlags.com sells more US flags than virtually any other online retailer. As such, we buy in bulk and can ship them to you faster and at lower cost.

We guarantee that every flag will stay colorfast for one full year from the date of purchase or we will replace it at NO CHARGE.

Buy genuine American-Made flags from AmericanFlags.com, your trusted name in flags."
1015CANYL,"Ideal for outdoor or indoor display, these 10' X 15' California state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. These flags are Made in America and are on sale now!"
NYLCO1015,"Ideal for outdoor or indoor display, these state flags are made of Nyl-Glo 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations.

These flags are Made in America and are on sale now!"
Delaware10x15,"Ideal for outdoor or indoor display, these Delaware state flags are made of 100% heavyweight nylon, a 200 denier bunting specially treated to minimize deterioration due to sun, wind and rain. America's first choice for flags, they are extremely durable, fast drying, and boast brilliant, fast colors. These flags are finished with strong canvas headings, reinforced stitching and heavy duty brass grommets. They come with a 1-year colorfast guarantee and will absolutely exceed your expectations. <b>These Delaware flags are Made in America and are on sale now!</b>"
VF10221000,"<b>Perma-Nyl Colorfast American Flag Made by Valley Forge</b><br>
Flags exposed to harsh sunlight, wet weather and wide temperature changes require a strong construction material!</b>
<ul>
<li>These flags are Made in America with sturdy 200 denier nylon fabric.</li>
<li>Best resistance to damaging ultraviolet (UV) radiation.</li>
<li>Longest lasting, fade-resistant and tear-resistant material available.</li>
<li>Flies in the lightest breeze.</il>
<li>Provides the brightest colors for a great look.</li>
<li>1-Year manufacturer's ColorFast guarantee.</li></ul>
<b>What is a Perma-Nyl American flag?</b>
<ul><li>Perma-Nyl American flags are made by Valley Forge Flag Company, Inc., one of the world's oldest and largest flag manufacturers.</il>
<li>Each Perma-Nyl US flag is made of 100% nylon using the finest fabrics, designed specifically or outdoor use.</li>
<li>These flags exhibit tremendous strength retention under UV exposure as well as world-class tensile and tear strength.</li>
<li>Nylon provides 25% more toughness than polyester with greater abrasion and tear resistance.</li></ul>
<b>Our Perma-Nyl American flags also feature:</b>
<ul><li>Strong durable GALVANIZED thimbles.</li>
<li>Dense, lock-stitched embroidered stars.</li>
<li>Heavy-gauge canvas headers.</li>
<li>Double-stitched seams and 4 rows of stitching at fly end.</li></ul>
<b>This great American flag is available for immediate shipping to your door. Other websites and big box stores charge $329.99 for this flag. Buy it direct for less from AmericanFlags.com!</b>"
